VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;1490;Borås;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;1490;Borås;ANARKISTERNA; ;1628;;;
KF;1490;Borås;ANDOPARTIET; ;1602;;;
KF;1490;Borås;Arbetarepartiet-Socialdemokraterna;S;2;30.855018587360593;https://www.socialdemokraterna.se/;#EE2020
KF;1490;Borås;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;1490;Borås;Bjornpartiet; ;1629;;;
KF;1490;Borås;Centerpartiet;C;4;6.695690276619503;https://www.centerpartiet.se/;#009933
KF;1490;Borås;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;1490;Borås;Det minst dåliga partiet; ;1622;;;
KF;1490;Borås;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;1490;Borås;Drivkraft; ;1621;;;
KF;1490;Borås;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;1490;Borås;Enad Politik; ;1589;;;
KF;1490;Borås;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;1490;Borås;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;1490;Borås;Enskild person/Riksdagen val; ;1614;;;
KF;1490;Borås;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;1490;Borås;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;1490;Borås;EUSEC; ;1534;;;
KF;1490;Borås;FAMILJENS FRIHET; ;1606;;;
KF;1490;Borås;Fattigmans parti; ;1618;;;
KF;1490;Borås;Feministiskt initiativ;FI;532;0.289764937029132;https://feministisktinitiativ.se/;
KF;1490;Borås;FN Parti art.27; ;1631;;;
KF;1490;Borås;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;1490;Borås;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;1490;Borås;Fredspartiet; ;1484;;;
KF;1490;Borås;Fria Wermland; ;1548;;https://friawermland.se/;
KF;1490;Borås;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;1490;Borås;Fritt val; ;1479;;;
KF;1490;Borås;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;1490;Borås;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;1490;Borås;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;1490;Borås;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;1490;Borås;Humanistisk demokrati (HD);HD;1480;;;
KF;1490;Borås;Invandrarpartiet; ;1624;;;
KF;1490;Borås;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;1490;Borås;Kalle ankapartiet; ;1579;;;
KF;1490;Borås;Kapitalism med vänligt ansikte; ;1495;;;
KF;1490;Borås;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;1490;Borås;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;1490;Borås;Kristdemokraterna;KD;68;6.615121489250428;https://kristdemokraterna.se/;#231977
KF;1490;Borås;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
KF;1490;Borås;KSP; ;1612;;;
KF;1490;Borås;Kärlek; ;1465;;http://www.karlekspartiet.se/;
KF;1490;Borås;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/;
KF;1490;Borås;Liberalerna (tidigare Folkpartiet);L;3;7.436357725415919;https://www.liberalerna.se/;#6BB7EC
KF;1490;Borås;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/;
KF;1490;Borås;Medborgarresan; ;1330;;https://citizenwell.se/;
KF;1490;Borås;Medborgerlig Samling;MED;1296;0.1894073246922131;https://www.medborgerligsamling.se/;
KF;1490;Borås;Miljöpartiet de gröna;MP;55;3.6227684566130014;https://www.mp.se/;#83CF39
KF;1490;Borås;Min röst; ;1437;;;
KF;1490;Borås;MITT SVERIGE; ;1591;;;
KF;1490;Borås;MoD; ;1568;;https://partietmod.se/;
KF;1490;Borås;Moderaterna;M;1;20.669427678912182;https://moderaterna.se/;#1B49DD
KF;1490;Borås;Monisterna; ;1502;;;
KF;1490;Borås;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti;
KF;1490;Borås;Nationalsocialistiska reformistiska Partiet; ;1595;;;
KF;1490;Borås;NaturFilosoferna; ;1460;;;
KF;1490;Borås;Naturistpartiet; ;1627;;;
KF;1490;Borås;Neoteknokraterna; ;1613;;;
KF;1490;Borås;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/;
KF;1490;Borås;Nu får det fan vara nog; ;1623;;;
KF;1490;Borås;Ny Demokrati; ;1596;;;
KF;1490;Borås;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/;
KF;1490;Borås;Nya Frihetspartiet; ;1443;;;
KF;1490;Borås;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/;
KF;1490;Borås;OK; ;1478;;;
KF;1490;Borås;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/;
KF;1490;Borås;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/;
KF;1490;Borås;Partiet Frihet; ;1599;;;
KF;1490;Borås;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/;
KF;1490;Borås;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/;
KF;1490;Borås;Pax; ;1491;;https://www.paxpartiet.se/;
