VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url;color
KF;2409;Robertsfors;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/;
KF;2409;Robertsfors;ANARKISTERNA; ;1628;;;
KF;2409;Robertsfors;ANDOPARTIET; ;1602;;;
KF;2409;Robertsfors;Arbetarepartiet-Socialdemokraterna;S;2;47.5672072872695;https://www.socialdemokraterna.se/;#EE2020
KF;2409;Robertsfors;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/;
KF;2409;Robertsfors;Bjornpartiet; ;1629;;;
KF;2409;Robertsfors;Centerpartiet;C;4;30.54876694067985;https://www.centerpartiet.se/;#009933
KF;2409;Robertsfors;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/;
KF;2409;Robertsfors;Det minst dåliga partiet; ;1622;;;
KF;2409;Robertsfors;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/;
KF;2409;Robertsfors;Drivkraft; ;1621;;;
KF;2409;Robertsfors;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/;
KF;2409;Robertsfors;Enad Politik; ;1589;;;
KF;2409;Robertsfors;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/;
KF;2409;Robertsfors;Enhet;ENH;189;0.0;https://www.enhet.se/;
KF;2409;Robertsfors;Enskild person/Riksdagen val; ;1614;;;
KF;2409;Robertsfors;Eropean radical reflektion a european dream party ERR; ;1626;;;
KF;2409;Robertsfors;Europeiska Arbetarpartiet-EAP;EAP;29;;;
KF;2409;Robertsfors;EUSEC; ;1534;;;
KF;2409;Robertsfors;FAMILJENS FRIHET; ;1606;;;
KF;2409;Robertsfors;Fattigmans parti; ;1618;;;
KF;2409;Robertsfors;Feministiskt initiativ;FI;532;0.19995556542990447;https://feministisktinitiativ.se/;
KF;2409;Robertsfors;FN Parti art.27; ;1631;;;
KF;2409;Robertsfors;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/;
KF;2409;Robertsfors;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/;
KF;2409;Robertsfors;Fredspartiet; ;1484;;;
KF;2409;Robertsfors;Fria Wermland; ;1548;;https://friawermland.se/;
KF;2409;Robertsfors;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/;
KF;2409;Robertsfors;Fritt val; ;1479;;;
KF;2409;Robertsfors;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/;
KF;2409;Robertsfors;Företaget Sverige; ;1510;;http://www.foretagetsverige.se;
KF;2409;Robertsfors;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/;
KF;2409;Robertsfors;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/;
KF;2409;Robertsfors;Humanistisk demokrati (HD);HD;1480;;;
KF;2409;Robertsfors;Invandrarpartiet; ;1624;;;
KF;2409;Robertsfors;John Mikkonen; ;1598;;http://www.johnmikkonen.se/;
KF;2409;Robertsfors;Kalle ankapartiet; ;1579;;;
KF;2409;Robertsfors;Kapitalism med vänligt ansikte; ;1495;;;
KF;2409;Robertsfors;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/;
KF;2409;Robertsfors;Knapptryckarna; ;1505;;https://knapptryckarna.se/;
KF;2409;Robertsfors;Kommunistiska Partiet;K;471;1.2886025327704953;https://kommunisterna.org/;
KF;2409;Robertsfors;Kristdemokraterna;KD;68;3.532548322594979;https://kristdemokraterna.se/;#231977
KF;2409;Robertsfors;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/;
