VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;136;Haninge;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;136;Haninge;ANDOPARTIET; ;1602;;
KF;136;Haninge;Arbetarepartiet-Socialdemokraterna;S;2;25.874912702723673;https://www.socialdemokraterna.se/
KF;136;Haninge;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;136;Haninge;Centerpartiet;C;4;5.975013579576317;https://www.centerpartiet.se/
KF;136;Haninge;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;136;Haninge;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;136;Haninge;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;136;Haninge;Enad Politik; ;1589;;
KF;136;Haninge;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;136;Haninge;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;136;Haninge;EUSEC; ;1534;;
KF;136;Haninge;Feministiskt initiativ;FI;532;0.364708621091022;https://feministisktinitiativ.se/
KF;136;Haninge;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;136;Haninge;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;136;Haninge;Fredspartiet; ;1484;;
KF;136;Haninge;Fria Wermland; ;1548;;https://friawermland.se/
KF;136;Haninge;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;136;Haninge;Fritt val; ;1479;;
KF;136;Haninge;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;136;Haninge;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;136;Haninge;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;136;Haninge;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;136;Haninge;Humanistisk demokrati (HD);HD;1480;;
KF;136;Haninge;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;136;Haninge;Kalle ankapartiet; ;1579;;
KF;136;Haninge;Kapitalism med vänligt ansikte; ;1495;;
KF;136;Haninge;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;136;Haninge;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;136;Haninge;Kristdemokraterna;KD;68;4.388143089935594;https://kristdemokraterna.se/
KF;136;Haninge;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;136;Haninge;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;136;Haninge;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;136;Haninge;Liberalerna (tidigare Folkpartiet);L;3;6.2058663769690385;https://www.liberalerna.se/
KF;136;Haninge;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;136;Haninge;Medborgarresan; ;1330;;https://citizenwell.se/
KF;136;Haninge;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;136;Haninge;Miljöpartiet de gröna;MP;55;4.756731589974393;https://www.mp.se/
KF;136;Haninge;Min röst; ;1437;;
KF;136;Haninge;MITT SVERIGE; ;1591;;
KF;136;Haninge;Moderaterna;M;1;24.478156281524015;https://moderaterna.se/
KF;136;Haninge;Monisterna; ;1502;;
KF;136;Haninge;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;136;Haninge;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;136;Haninge;NaturFilosoferna; ;1460;;
KF;136;Haninge;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;136;Haninge;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;136;Haninge;Nya Frihetspartiet; ;1443;;
KF;136;Haninge;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;136;Haninge;OK; ;1478;;
KF;136;Haninge;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;136;Haninge;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;136;Haninge;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;136;Haninge;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;136;Haninge;Pax; ;1491;;https://www.paxpartiet.se/
KF;136;Haninge;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;136;Haninge;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;136;Haninge;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;136;Haninge;Rikspolitiska partiet; ;1496;;
KF;136;Haninge;Rättvisepartiet Socialisterna;RS;131;2.787693023977652;https://www.socialisterna.org/
KF;136;Haninge;SKP; ;1586;;https://skp.se
KF;136;Haninge;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;136;Haninge;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;136;Haninge;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;136;Haninge;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;136;Haninge;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;136;Haninge;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;136;Haninge;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;136;Haninge;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;136;Haninge;Sverigedemokraterna;SD;110;17.259641499185225;https://sd.se/
KF;136;Haninge;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;136;Haninge;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;136;Haninge;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;136;Haninge;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;136;Haninge;Valsamverkanspartiet; ;1526;;
KF;136;Haninge;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;136;Haninge;Vänsterpartiet;V;5;7.041980290214946;https://www.vansterpartiet.se/
KF;136;Haninge;Yggdrasil; ;1454;;
KF;136;Haninge;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
